NUM,ITEM #,CATEGORY,DESCRIPTION,BRAND,PACK/SIZE
3,340403,ALMONDS,ALMONDS SLICED BLANCHED,HEMISPHERE,1/25LB
5,192402,ANCHOVIES,ANCHOVIES IN SOY OIL,PACKER,24/28 OZ
7,250401,APPLE CIDER,CLEAR APPLE CIDER GALLONS,GLDN CROWN,4/1 GAL
9,10041,APPLE JUICE,APPLE JUICE BASE 4+1,PACKER,12/1LT
11,37460,APPLE JUICE,JUICY JUICE APPLE,LIBBY,32/6.75OZ
13,40447,APPLE JUICE,JUICE APPLE 50% 5+1,JUICE TYME,1/3GALL
15,111600,APPLE JUICE,JUICYJUICE APPLE,JUICY JC,8/48Z
17,111609,APPLE JUICE,JUICYJUICE APPLE,JUICY JC,8/48OZ
19,115218,APPLE JUICE,APPLE JUICE PET,SUNPAC,12/46OZ
21,250605,APPLE JUICE,APPLE/STRAWBERRY JUICE,MOTTS,27/6.75oz
23,250615,APPLE JUICE,100% APPLE JUICE W/VITAMI,SUNPAC,48/5.24 OZ
25,250810,APPLE JUICE,CLEAR APPLE JUICE,APPLE/EVE,8/64 OZ
27,251331,APPLE JUICE,APPLE JUICE,APPLE/EVE,27/8.5OZ
29,253202,APPLE JUICE,APPLE JUICE (PET BOTTLE),TROPICANA,12/32 OZ
31,253257,APPLE JUICE,APPLE JC-PLASTIC,PARADE,12/32 OZ
33,254650,APPLE JUICE,JUICE APPLE 100% BOX,PACKER,12/46 OZ
35,220600,APPLES (CANNED),APPLED SLICED IN WATER,WHITEHOUSE,6/#10
37,220612,APPLES (CANNED),APPLE SPICE RINGS,WHITEHOUSE,6/#10 CAN
39,220635,APPLESAUCE CANNED & JAR,NAT DIET APPLESAUCE,PKR,6/#10
41,221221,APPLESAUCE CANNED & JAR,APPLE SAUCE,MUSSELMAN,8/48 OZ
43,222405,APPLESAUCE CANNED & JAR,APPLESAUCE JARS,MOTTS,12/24oz
45,350165,APPLESAUCE CANNED & JAR,APPLESAUCE RETAIL CND,PARADE,12/25oz
47,350400,APPLESAUCE CANNED & JAR,APPLESAUCE G&S UNSWEETEN,PACKER,6/#10
49,805316,APPLESAUCE CANNED & JAR,APPLESAUCE,ORCH/APLSN,6/#10
51,370500,APRICOTS (CANNED),APRICOT HALVES (JC),PRIM,6/#10
53,10040,BABY FOOD,APPLE JUICE,GERBER,24/4oz
55,10050,BABY FOOD,APPLE JUICE BLEND,BEECHNUT,24/4Z
57,10082,BABY FOOD,APPLE/BANANA STAGE # 3,BEECHNUT,12/6 OZ
59,10092,BABY FOOD,PEARS STAGE # 3,GERBER,12/6 OZ
61,10147,BABY FOOD,#1 STARTER PEACHES,BEECHNUT,12/2.5oz
63,10163,BABY FOOD,STAGE#2 BAN/ORANGE 2PK,GERBER,16/3 oz
65,10166,BABY FOOD,STAGE 2 CHIX/RICE,GERBER,12/4Z
67,10168,BABY FOOD,APPL/VAN 2-DHA 2P,GERBER,8/3OZ
69,10170,BABY FOOD,VEGETABLE GARDEN #2,BNUT,12/4 OZ
71,10176,BABY FOOD,SPAGHETTI/BEEF,BEECHNUT,12/6OZ
73,10322,BABY FOOD,BABY FRUIT YOGURT,BEECHNUT,12/4 OZ
75,10326,BABY FOOD,GD MORN PCHS/BANANA ST#2,BEECHNUT,12/4 OZ
77,10579,BABY FOOD,OAT/PEAR-CINNAMON ST # 3,BEECHNUT,12/6 OZ
79,10596,BABY FOOD,GD MORN OATS/APPLES ST#3,BEECHNUT,12/6 OZ
81,10598,BABY FOOD,GD EV VEG/BEEF ST # 3,BEECHNUT,12/6 OZ
83,10700,BABY FOOD,CEREAL APPLE CHERRY,GERBER,12/9Z
85,10771,BABY FOOD,ASSORTED FRUIT JUICE,GERBER,24/4oz
87,10773,BABY FOOD,WHITE GRAPE JUICE,GERBER,24/4oz
89,10862,BABY FOOD,PEAS STAGE 1,GERBER,16/4oz
91,10872,BABY FOOD,BABY FRUIT YOGURT,BEECHNUT,12/4 OZ
93,10886,BABY FOOD,TURKEY STEW GRADUATE,GERBER,12/6 OZ
95,10888,BABY FOOD,CUSTARD VANILLA STAGE 2,GERBER,8/3.5OZ
97,10900,BABY FOOD,FRUIT TREAT GRADUATE,GERBER,12/6 OZ
99,10915,BABY FOOD,STAGE 2 CHIX NOODLE,GERBER,12/4Z
101,10959,BABY FOOD,STAGE 2 CARROTS,GERBER,16/3.5Z
103,10968,BABY FOOD,GD EV SW POTATO/TURKEY #2,BEECHNUT,12/4 OZ
105,10973,BABY FOOD,VEG/BEEF STEW GD EVE ST 3,BEECHNUT,12/6Z
107,10977,BABY FOOD,STAGE 2 PEAS,BEECHNUT,12/4oz
109,10981,BABY FOOD,CEREAL FRUIT RICE,GERBER,12/8Z
111,11001,BABY FOOD,FINGER FOOD - BANANA,GERBER,6/1.4oz
113,11014,BABY FOOD,FINGER FOOD PEACH,GERBER,6/1.4 OZ
115,11084,BABY FOOD,#2 PRUNE/APPLE BABY FOOD,GERBER,16/3Z
117,11094,BABY FOOD,GERB GRAD VEGGIE CRACKER,GERBER,6/4oz
119,11102,BABY FOOD,#1 PEARS,GERBER,8/2.5 OZ
121,11130,BABY FOOD,PEACHES STAGE 2,GERBER,16/3.5oz
123,11134,BABY FOOD,STAGE#2 APPLESAUCE,GERBER,16/3oz
125,11791,BABY FOOD,ENFAMIL IRON CONCENTRATE,ENFAMIL,12/13oz
127,11811,BABY FOOD,SIMILAC ADV NEOSURE/IRON,NESTLE,6/32Z
129,11818,BABY FOOD,SIMILAC NEO-EX CARE,SIMILAC,6/13oz
131,11840,BABY FOOD,SIMILAC ADV/IRON CONC.,NESTLE,12/13oz
133,25674,BABY FOOD,PEDIALYTE RTU,PEDIALYTE,8/33 OZ
135,61031,BABY FOOD,GREEN BEANS #2 BABY FOOD,BEECHNUT,12/4oz
137,62052,BABY FOOD,"CARROTS, STRAINED",HEINZ,24/4 OZ
139,62061,BABY FOOD,BEEF PUREED W BROTH,HEINZ,12/15 OZ
141,62071,BABY FOOD,GREEN BEANS PUREED,HEINZ,12/15 OZ
143,62420,BABY FOOD,FORMULA GENTLE EASE LIPIL,ENFAMIL,6/12Z
145,62424,BABY FOOD,ADVANCE /IRON FORMULA,ISOMIL,6/32oz
